school,spell_name,type,circle,mana,description,class_name
Summoning,ing Summon Shield,summon,2,8,Summon Shield - Summon Shield Circle: 2 (8 mana),SummoningSummonShieldSpell
Summoning,ing Summon Storm Elemental,summon,5,20,Summon Storm Elemental - Summon Storm Elemental Circle: 5 (20 mana),SummoningSummonStormElementalSpell
Summoning,ing Summon Titan,summon,8,32,Summon Titan - Summon Titan Circle: 8 (32 mana),SummoningSummonTitanSpell
Summoning,ing Summon Void Elemental,summon,6,24,Summon Void Elemental - Summon Void Elemental Circle: 6 (24 mana),SummoningSummonVoidElementalSpell
Summoning,ing Summon Wisp,summon,1,4,Summon Wisp - Summon Wisp Circle: 1 (4 mana),SummoningSummonWispSpell
Summoning,ing Summon Wolf,summon,2,8,Summon Wolf - Summon Wolf Circle: 2 (8 mana),SummoningSummonWolfSpell
Summoning,ing Summoners Apocalypse,summon,8,32,Summoner's Apocalypse - Summoner's Apocalypse Circle: 8 (32 mana),SummoningSummonersApocalypseSpell
Summoning,ing Swarmof Creatures,utility,7,28,Swarm of Creatures - Swarm of Creatures Circle: 7 (28 mana),SummoningSwarmofCreaturesSpell
Summoning,ing Symbiotic Link,utility,5,20,Symbiotic Link - Symbiotic Link Circle: 5 (20 mana),SummoningSymbioticLinkSpell
Summoning,ing Unsummon,summon,4,16,Unsummon - Unsummon Circle: 4 (16 mana),SummoningUnsummonSpell
